"year","region","sales","charingPoints","stock","stockShare","salesShare"
2010,"Belgium",42,42,137,0.0245999998878687,0.0213999995030463
2010,"China",3464.90000009537,3464.90000009537,4240,0.0557000003755093,0.411229985416867
2010,"Denmark",62,62,103,0.062099999981001,0.618000011891127
2010,"France",1006,1006,2116,0.0709400021587498,0.478500014171004
2010,"Germany",310,310,470,0.00863000022945925,0.0918999975547194
2010,"Iceland",2,2,21,0.0657999985851347,0.0599999986588955
2010,"India",450,450,880,0.0052000000141561,0.0209999997168779
2010,"Italy",250,250,1470,0.0237999998498708,0.121999997412786
2010,"Japan",2400,2400,3500,0.0052000000141561,0.0549999997019768
2010,"Korea",66,66,66,0.00070000000414438,0.0120999999344349
2010,"Netherlands",165,165,420,0.287699990672991,0.427999990060925
2010,"New Zealand",10,10,76,0.270610010717064,0.00630000000819563
2010,"Norway",361,361,2702,0.129999995231628,0.283400001237169
2010,"Poland",19,19,0,0,0.00410000002011656
2010,"Portugal",720,720,720,0.0160000007599592,0.319999992847443
2010,"Spain",76,76,76,0.00033999999868683,0.00769999995827674
2010,"Sweden",4,4,4,9.999999747378e-05,0.00130000000353902
2010,"Switzerland",140,140,160,0.00389999989420175,0.0469999983906746
2010,"United Kingdom",536,536,2970,0.0632999991066754,0.216000000014901
2010,"United States of America ",1200,1200,3800,0.001700000022538,0.0109999999403954
2011,"Australia",49,49,49,0.00046000001020729,0.00650000013411045
2011,"Belgium",322,322,434,0.0354000004008412,0.10700000077486
2011,"Canada",520,520,520,0.00260000000707805,0.0410000011324883
2011,"Chile",6,6,6,0.00028000000747852,0.00249999994412064
2011,"China",7894,7894,12090,0.126599999144673,0.858740025141742
2011,"Denmark",446,446,550,0.0997999985702336,0.620999997481704
2011,"Finland",30,30,56,0.00249999994412064,0.025000000372529
2011,"France",4417,4417,6593,0.14329999871552,0.859999984502792
2011,"Germany",1920,1920,2340,0.0219999994151294,0.171999998390675
2011,"Iceland",0,0,21,0.0657999985851347,0
2011,"India",1400,1400,1300,0.00689999992027878,0.0560000017285347
2011,"Italy",194,194,1670,0.0290000007953495,0.0554999988526106
2011,"Japan",13867,13867,16867,0.0305200000293553,0.499000018462539
2011,"Korea",274,274,349,0.00276999996276572,0.0285000000149012
2011,"Mexico",3,3,3,1.700000029813e-05,0.0003900000010617
2011,"Netherlands",963,963,1359,0.42100000474602,1.16899998486042
2011,"New Zealand",17,17,93,0.271300010732375,0.129899997264147
2011,"Norway",2042,2042,3904,0.180230007157661,1.51999997347593
2011,"Poland",46,46,0,0,0.00740000000223517
2011,"Portugal",195,195,910,0.0189999993890524,0.133999997749925
2011,"Spain",422,422,492,0.00260999990859999,0.0739999990910292
2011,"Sweden",189,189,189,0.00640000007115304,0.0730000007897615
2011,"Switzerland",441,441,601,0.0140000004321337,0.140000000596046
2011,"United Kingdom",1494,1494,4399,0.0819999985396862,0.334999999031425
2011,"United States of America ",17800,17800,22000,0.00970000028610229,0.170000001788139
2012,"Australia",250,250,300,0.00279999990016222,0.0299999993294477
2012,"Belgium",1520,1520,1520,0.0916999992914498,0.789999961853027
2012,"Brazil",92,92,0,0,0.00300000002607703
2012,"Canada",2020,2020,2540,0.0130000002682209,0.150000005960464
2012,"Chile",5,5,11,0.00049000000581145,0.0020000000949949
2012,"China",13231,13231,25471,0.20031000112067,1.0812999792397
2012,"Denmark",641,641,1465,0.187000000849366,0.979999989271164
2012,"Finland",181,181,240,0.00999999977648258,0.170000001788139
2012,"France",9925,9925,16572,0.26800000295043,1.75
2012,"Germany",4350,4350,6700,0.063000001013279,0.540000006556511
2012,"Iceland",28,28,55,0.181999996304512,1.69999998807907
2012,"India",190,190,2800,0.0130000002682209,0.00719999987632036
2012,"Italy",823,823,2503,0.0412999987602234,0.203000001609325
2012,"Japan",26504,26504,44306,0.0878000007942319,0.942999966442585
2012,"Korea",512,512,861,0.00632999982917681,0.0441000012215227
2012,"Mexico",88,88,91,0.00049000000581145,0.0109999999403954
2012,"Netherlands",5436,5436,6893,0.560999989509583,2.01400000974536
2012,"New Zealand",28,28,121,0.272600010735914,0.0710000023245811
2012,"Norway",4281,4281,8345,0.381099995225668,3.28999990224838
2012,"Poland",64,64,0,0,0.0222000009380281
2012,"Portugal",68,68,960,0.0209999997168779,0.155000001192093
2012,"Spain",740,740,1240,0.00939999986439942,0.346000008285046
2012,"Sweden",1210,1210,1626,0.144000001251698,1.00999999046326
2012,"Switzerland",860,860,1460,0.0729999989271164,0.629999995231628
2012,"United Kingdom",3155,3155,7598,0.112999999895692,0.509000008925796
2012,"United States of America ",54000,54000,75000,0.034000001847744,0.409999996423721
2013,"Australia",290,290,590,0.00540000014007091,0.034000001847744
2013,"Belgium",780,780,2230,0.116800001822412,0.359999999403954
2013,"Brazil",163,163,0,0,0.00549999997019767
2013,"Canada",3100,3100,5700,0.0280000008642673,0.219999998807907
2013,"Chile",5,5,16,0.00066999997943639,0.00179999996908009
2013,"China",21890,21890,47260,0.338099991669878,1.85700004547834
2013,"Denmark",616,616,1862,0.242000006139278,1.15299999527633
2013,"Finland",220,220,470,0.0199999995529652,0.209999993443489
2013,"France",14754,14754,31056,0.425999995321035,2.39000001549721
2013,"Germany",7502,7502,14202,0.098999997600913,0.510000005364418
2013,"Greece",3,3,3,5.900000178371e-05,0.00510000018402934
2013,"Iceland",103,103,159,0.247900001704693,1.29999995231628
2013,"India",410,410,2900,0.0120000001043081,0.0160000007599592
2013,"Italy",1151,1151,3584,0.0498999999836087,0.245000004768372
2013,"Japan",31107,31107,74413,0.149200003128499,1.01199998706579
